origin_time,Ev. Lat,Ev. Long,Ev. Depth,Station,St. Lat,St. Long,Delay 2-4,Delay 4-8,Delay 8-16,Delay 16-32
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,SANT,36.37,25.46,3.104002,9.354002,,
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,ANID,36.6251,25.6847,0.513001,0.323001,12.543001,3.583001
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,ASTY,36.5795,26.4114,0.992997,0.992997,11.712997,4.222997
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,AMOS,36.7956,25.769,1.085997,10.135997,12.345997,11.945997
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,IOSI,36.7347,25.3618,0.800002,0.770002,12.900002,11.330002
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,AMOE,36.915,25.9788,0.690003,14.830003,13.470003,1.300003
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,FOLE,36.6216,24.9197,1.414002,3.864002,10.644002,14.434002
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,NAXO,36.98,25.44,0.478998,14.238998,4.588998,4.688998
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,LAST,35.16,25.48,4.867999,0.917999,,
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,ZKR,35.11,26.22,1.036002,1.236002,,
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,IDI,35.29,24.89,1.6245,1.562,1.1995,3.387
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,KASO,35.4115,26.9152,3.655002,0.875002,1.465002,1.525002
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,KAPA,35.6402,27.1376,1.568998,1.468998,1.738998,1.238998
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,RETH,35.2934,24.4948,1.88,4.66,2.98,3.4
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,SIVA,35.02,24.81,1.775,4.125,,
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,RHOS,36.011,27.8197,1.649003,1.589003,4.259003,3.039003
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,KARN,35.4,23.92,5.682996,4.932996,,
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,TUR9,36.7015,28.0887,1.747,6.467,5.577,5.787
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,PE10,36.6469,22.8982,2.246002,2.036002,1.976002,3.096002
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,PE07,37.1478,22.8195,2.521002,3.801002,5.251002,6.321002
2005-11-16T18:06:41.772527,36.084641,25.801923,135.375977,TUR8,36.8273,28.939,4.613997,1.333997,4.203997,5.153997
2005-11-17T20:18:14.854723,37.634116,22.682945,60.180664,PE05,37.5128,22.4553,0.586,1.096,0.416,0.456
2005-11-17T20:18:14.854723,37.634116,22.682945,60.180664,PE04,37.6007,22.9593,0.924998,0.474998,0.194998,0.184998
2005-11-17T20:18:14.854723,37.634116,22.682945,60.180664,PE02,37.8958,22.4907,0.498002,0.668002,0.738002,0.878002
2005-11-17T20:18:14.854723,37.634116,22.682945,60.180664,IDHR,37.3908,23.2591,1.282998,1.962998,0.902998,0.522998
2005-11-17T20:18:14.854723,37.634116,22.682945,60.180664,PE01,38.017,22.0283,1.076001,3.426001,0.786001,6.606001
2005-11-17T20:18:14.854723,37.634116,22.682945,60.180664,AT04,37.7252,24.0496,1.466999,1.426999,1.676999,1.596999
2005-11-17T20:18:14.854723,37.634116,22.682945,60.180664,KEAI,37.6232,24.3191,4.277998,4.167998,1.447998,5.167998
2005-11-18T17:04:1.747792,36.506558,26.926062,119.873047,TUR7,36.7017,27.5697,0.506001,3.776001,12.306001,9.326001
2005-11-18T17:04:1.747792,36.506558,26.926062,119.873047,RHOS,36.011,27.8197,2.135,1.365,2.455,1.575
2005-11-18T17:04:1.747792,36.506558,26.926062,119.873047,KAPA,35.6402,27.1376,2.751999,1.001999,0.921999,0.671999
2005-11-18T17:04:1.747792,36.506558,26.926062,119.873047,KASO,35.4115,26.9152,1.234998,0.624998,0.764998,1.204998
2005-11-18T17:04:1.747792,36.506558,26.926062,119.873047,ZKR,35.11,26.22,2.410999,3.460999,,
2005-11-18T17:04:1.747792,36.506558,26.926062,119.873047,IDI,35.29,24.89,3.282001,2.094501,1.382001,2.394501
2005-11-19T03:12:47.737641,37.50162,22.65614,52.368164,PE05,37.5128,22.4553,0.674996,0.484996,0.354996,0.614996
2005-11-19T03:12:47.737641,37.50162,22.65614,52.368164,PE04,37.6007,22.9593,1.203997,0.953997,1.253997,0.843997
2005-11-19T03:12:47.737641,37.50162,22.65614,52.368164,PE07,37.1478,22.8195,1.254997,0.724997,1.754997,1.284997
2005-11-19T03:12:47.737641,37.50162,22.65614,52.368164,PE02,37.8958,22.4907,0.595002,0.425002,0.885002,1.075002
2005-11-19T03:12:47.737641,37.50162,22.65614,52.368164,AT04,37.7252,24.0496,1.370002,0.810002,0.380002,1.210002
2005-11-19T05:58:12.536569,37.89639,22.591092,71.044922,PE02,37.8958,22.4907,1.428003,1.448003,1.658003,1.088003
2005-11-19T05:58:12.536569,37.89639,22.591092,71.044922,PE05,37.5128,22.4553,0.632997,1.262997,1.062997,0.922997
2005-11-19T05:58:12.536569,37.89639,22.591092,71.044922,PE04,37.6007,22.9593,0.572004,0.472004,0.862004,0.472004
2005-11-19T05:58:12.536569,37.89639,22.591092,71.044922,IDHR,37.3908,23.2591,3.298001,3.828001,3.488001,4.568001
2005-11-19T23:12:22.751514,36.936293,23.717782,88.378906,IDHR,37.3908,23.2591,1.116999,0.446999,1.216999,0.246999
2005-11-19T23:12:22.751514,36.936293,23.717782,88.378906,SERI,37.161,24.4853,0.718,1.098,1.458,12.288
2005-11-19T23:12:22.751514,36.936293,23.717782,88.378906,PE07,37.1478,22.8195,1.210002,3.250002,1.800002,2.230002
2005-11-19T23:12:22.751514,36.936293,23.717782,88.378906,KEAI,37.6232,24.3191,11.691003,0.381003,0.861003,11.311003
2005-11-19T23:12:22.751514,36.936293,23.717782,88.378906,PE04,37.6007,22.9593,1.024997,1.044997,0.764997,9.704997
2005-11-19T23:12:22.751514,36.936293,23.717782,88.378906,PE02,37.8958,22.4907,0.592003,2.262003,0.872003,2.022003
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,PE05,37.5128,22.4553,0.495,0.585,0.985,1.425
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,PE04,37.6007,22.9593,0.896002,0.746002,0.456002,0.536002
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,PE02,37.8958,22.4907,0.510999,0.580999,0.660999,0.720999
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,PE07,37.1478,22.8195,2.887,1.477,1.057,0.897
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,IDHR,37.3908,23.2591,2.818004,1.558004,1.578004,0.248004
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,PE01,38.017,22.0283,2.264999,0.754999,0.964999,1.034999
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,PE06,37.1787,21.9252,4.292004,2.912004,4.512004,0.132004
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,PE03,37.3784,21.7722,1.727999,1.947999,0.777999,6.437999
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,PE09,36.7921,21.8879,4.680998,4.540998,5.410998,8.310998
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,AT02,38.0473,23.8638,2.017997,2.017997,2.337997,3.387997
2005-11-20T18:50:42.868136,37.596107,22.686065,58.959961,AT04,37.7252,24.0496,1.316999,1.016999,1.266999,11.386999
2005-11-21T14:44:12.531971,37.701284,23.295621,99.853516,IDHR,37.3908,23.2591,0.572001,0.622001,0.542001,1.642001
2005-11-21T14:44:12.531971,37.701284,23.295621,99.853516,PE02,37.8958,22.4907,1.037998,0.537998,3.257998,5.187998
2005-11-21T14:44:12.531971,37.701284,23.295621,99.853516,PE07,37.1478,22.8195,1.639004,1.239004,1.039004,3.999004
2005-11-21T14:44:12.531971,37.701284,23.295621,99.853516,KEAI,37.6232,24.3191,0.784,0.894,7.834,7.844
2005-11-22T04:09:47.533663,35.922635,26.307022,72.509766,ASTY,36.5795,26.4114,0.737997,0.477997,0.417997,0.967997
2005-11-22T04:09:47.533663,35.922635,26.307022,72.509766,ANID,36.6251,25.6847,1.156997,0.686997,5.266997,12.756997
2005-11-22T04:09:47.533663,35.922635,26.307022,72.509766,AMOS,36.7956,25.769,1.047997,0.457997,0.467997,6.557997
2005-11-22T04:09:47.533663,35.922635,26.307022,72.509766,LAST,35.16,25.48,2.926996,3.176996,,
2005-11-22T04:09:47.533663,35.922635,26.307022,72.509766,RHOS,36.011,27.8197,3.092002,0.952002,1.422002,5.792002
2005-11-22T08:22:49.324143,38.142408,22.644488,72.998047,PE02,37.8958,22.4907,0.610997,0.770997,1.150997,0.220997
2005-11-22T08:22:49.324143,38.142408,22.644488,72.998047,PE01,38.017,22.0283,0.664003,2.554003,8.834003,13.944003
2005-11-22T08:22:49.324143,38.142408,22.644488,72.998047,PE04,37.6007,22.9593,0.908997,0.968997,0.428997,0.938997
2005-11-22T08:22:49.324143,38.142408,22.644488,72.998047,PE05,37.5128,22.4553,3.679998,1.749998,1.469998,1.929998
2005-11-22T08:22:49.324143,38.142408,22.644488,72.998047,PE07,37.1478,22.8195,0.961997,0.891997,0.811997,2.571997
2005-11-24T18:41:59.531854,36.170073,28.318431,60.302734,RHOS,36.011,27.8197,1.383,3.183,1.033,1.033
